,ald001,ptsa,am001,ic001
0,0.27999999999999997,0.012,0.13999999999999999,0.3
1,0.26,0.012,0.16,0.3
2,0.27999999999999997,0.02193103448275862,0.13999999999999999,0.3
3,0.26,0.02193103448275862,0.16,0.3
4,0.27999999999999997,0.031862068965517236,0.13999999999999999,0.3
5,0.26,0.031862068965517236,0.16,0.3
6,0.27999999999999997,0.041793103448275866,0.13999999999999999,0.3
7,0.26,0.041793103448275866,0.16,0.3
8,0.27999999999999997,0.05172413793103448,0.13999999999999999,0.3
9,0.26,0.05172413793103448,0.16,0.3
10,0.27999999999999997,0.061655172413793084,0.13999999999999999,0.3
11,0.26,0.061655172413793084,0.16,0.3
12,0.27999999999999997,0.07158620689655172,0.13999999999999999,0.3
13,0.26,0.07158620689655172,0.16,0.3
14,0.27999999999999997,0.08151724137931034,0.13999999999999999,0.3
15,0.26,0.08151724137931034,0.16,0.3
16,0.27999999999999997,0.09144827586206897,0.13999999999999999,0.3
17,0.26,0.09144827586206897,0.16,0.3
18,0.27999999999999997,0.10137931034482756,0.13999999999999999,0.3
19,0.26,0.10137931034482756,0.16,0.3
20,0.27999999999999997,0.1113103448275862,0.13999999999999999,0.3
21,0.26,0.1113103448275862,0.16,0.3
22,0.27999999999999997,0.12124137931034484,0.13999999999999999,0.3
23,0.26,0.12124137931034484,0.16,0.3
24,0.27999999999999997,0.13117241379310346,0.13999999999999999,0.3
25,0.26,0.13117241379310346,0.16,0.3
26,0.27999999999999997,0.14110344827586208,0.13999999999999999,0.3
27,0.26,0.14110344827586208,0.16,0.3
28,0.27999999999999997,0.1510344827586207,0.13999999999999999,0.3
29,0.26,0.1510344827586207,0.16,0.3
30,0.27999999999999997,0.1609655172413793,0.13999999999999999,0.3
31,0.26,0.1609655172413793,0.16,0.3
32,0.21999999999999997,0.2801379310344828,0.2,0.3
33,0.21999999999999997,0.2900689655172414,0.2,0.3
34,0.21999999999999997,0.3,0.2,0.3
35,0.21,0.012,0.16499999999999998,0.3
36,0.21,0.02193103448275862,0.16499999999999998,0.3
37,0.21,0.031862068965517236,0.16499999999999998,0.3
38,0.21,0.041793103448275866,0.16499999999999998,0.3
39,0.21,0.05172413793103448,0.16499999999999998,0.3
40,0.21,0.061655172413793084,0.16499999999999998,0.3
41,0.21,0.07158620689655172,0.16499999999999998,0.3
42,0.21,0.08151724137931034,0.16499999999999998,0.3
43,0.21,0.09144827586206897,0.16499999999999998,0.3
44,0.21,0.10137931034482756,0.16499999999999998,0.3
45,0.21,0.1113103448275862,0.16499999999999998,0.3
46,0.21,0.12124137931034484,0.16499999999999998,0.3
47,0.21,0.13117241379310346,0.16499999999999998,0.3
48,0.21,0.14110344827586208,0.16499999999999998,0.3
49,0.21,0.1510344827586207,0.16499999999999998,0.3
50,0.21,0.1609655172413793,0.16499999999999998,0.3
