,ald001,ptsa,am001,ic001,ptsa_dil_x_5,ptsa_dil_x_25,DMF
0,46.666666666666664,0.0,14.0,50.0,0.0,39.99999999999999,49.33333333333334
1,43.333333333333336,0.0,16.0,50.0,0.0,39.99999999999999,50.66666666666666
2,46.666666666666664,0.0,14.0,50.0,14.620689655172415,0.0,74.71264367816093
3,43.333333333333336,0.0,16.0,50.0,14.620689655172415,0.0,76.04597701149424
4,46.666666666666664,0.0,14.0,50.0,21.241379310344826,0.0,68.09195402298852
5,43.333333333333336,0.0,16.0,50.0,21.241379310344826,0.0,69.42528735632183
6,46.666666666666664,0.0,14.0,50.0,27.86206896551724,0.0,61.471264367816104
7,43.333333333333336,0.0,16.0,50.0,27.86206896551724,0.0,62.80459770114942
8,46.666666666666664,0.0,14.0,50.0,34.48275862068965,0.0,54.85057471264369
9,43.333333333333336,0.0,16.0,50.0,34.48275862068965,0.0,56.183908045977006
10,46.666666666666664,0.0,14.0,50.0,41.103448275862064,0.0,48.22988505747128
11,43.333333333333336,0.0,16.0,50.0,41.103448275862064,0.0,49.56321839080459
12,46.666666666666664,0.0,14.0,50.0,47.72413793103448,0.0,41.609195402298866
13,43.333333333333336,0.0,16.0,50.0,47.72413793103448,0.0,42.94252873563218
14,46.666666666666664,10.868965517241378,14.0,50.0,0.0,0.0,78.46436781609196
15,43.333333333333336,10.868965517241378,16.0,50.0,0.0,0.0,79.79770114942528
16,46.666666666666664,12.193103448275863,14.0,50.0,0.0,0.0,77.14022988505747
17,43.333333333333336,12.193103448275863,16.0,50.0,0.0,0.0,78.47356321839081
18,46.666666666666664,13.517241379310342,14.0,50.0,0.0,0.0,75.816091954023
19,43.333333333333336,13.517241379310342,16.0,50.0,0.0,0.0,77.14942528735632
20,46.666666666666664,14.841379310344825,14.0,50.0,0.0,0.0,74.49195402298851
21,43.333333333333336,14.841379310344825,16.0,50.0,0.0,0.0,75.82528735632184
22,46.666666666666664,16.165517241379312,14.0,50.0,0.0,0.0,73.16781609195402
23,43.333333333333336,16.165517241379312,16.0,50.0,0.0,0.0,74.50114942528735
24,46.666666666666664,17.48965517241379,14.0,50.0,0.0,0.0,71.84367816091955
25,43.333333333333336,17.48965517241379,16.0,50.0,0.0,0.0,73.17701149425287
26,46.666666666666664,18.81379310344828,14.0,50.0,0.0,0.0,70.51954022988505
27,43.333333333333336,18.81379310344828,16.0,50.0,0.0,0.0,71.8528735632184
28,46.666666666666664,20.13793103448276,14.0,50.0,0.0,0.0,69.19540229885058
29,43.333333333333336,20.13793103448276,16.0,50.0,0.0,0.0,70.5287356321839
30,46.666666666666664,21.462068965517247,14.0,50.0,0.0,0.0,67.87126436781608
31,43.333333333333336,21.462068965517247,16.0,50.0,0.0,0.0,69.20459770114942
32,36.666666666666664,37.351724137931036,20.0,50.0,0.0,0.0,55.981609195402314
33,36.666666666666664,38.67586206896553,20.0,50.0,0.0,0.0,54.657471264367814
34,36.666666666666664,40.0,20.0,50.0,0.0,0.0,53.33333333333334
35,35.0,0.0,16.5,50.0,0.0,39.99999999999999,58.5
36,35.0,0.0,16.5,50.0,14.620689655172415,0.0,83.87931034482759
37,35.0,0.0,16.5,50.0,21.241379310344826,0.0,77.25862068965517
38,35.0,0.0,16.5,50.0,27.86206896551724,0.0,70.63793103448276
39,35.0,0.0,16.5,50.0,34.48275862068965,0.0,64.01724137931035
40,35.0,0.0,16.5,50.0,41.103448275862064,0.0,57.396551724137936
41,35.0,0.0,16.5,50.0,47.72413793103448,0.0,50.77586206896552
42,35.0,10.868965517241378,16.5,50.0,0.0,0.0,87.63103448275862
43,35.0,12.193103448275863,16.5,50.0,0.0,0.0,86.30689655172414
44,35.0,13.517241379310342,16.5,50.0,0.0,0.0,84.98275862068965
45,35.0,14.841379310344825,16.5,50.0,0.0,0.0,83.65862068965518
46,35.0,16.165517241379312,16.5,50.0,0.0,0.0,82.33448275862068
47,35.0,17.48965517241379,16.5,50.0,0.0,0.0,81.01034482758621
48,35.0,18.81379310344828,16.5,50.0,0.0,0.0,79.68620689655172
49,35.0,20.13793103448276,16.5,50.0,0.0,0.0,78.36206896551724
50,35.0,21.462068965517247,16.5,50.0,0.0,0.0,77.03793103448275
